smiles,cluster,silhouette
C1NCC12CNO2,10.0,0.27790587331491756
C1NCC12CNC2,8.0,0.1548454502569908
C1NCC12COC2,10.0,-0.04452456833851122
C1CC2(CNC2)N1,8.0,-0.02366036260955843
C1CNC2(C1)CNC2,2.0,0.5334689313393172
C1CSC2(CNC2)N1,6.0,0.30104358694466626
C1CC2(CCN2)CN1,1.0,-0.5705845209062066
C1CNC2(C1)CCNC2,6.0,0.5109615640463814
C1CCC2(CCNC2)NC1,12.0,0.1838477871690803
C1CC2(CCN1)NCCO2,5.0,0.3331125042036257
C1CNCC2(C1)CNC2,6.0,0.5891571441326948
C1CC2(CCN1)CCN2,6.0,0.6260927420964507
C1COCC2(CNC2)N1,5.0,0.5706201416673248
C1COC2(CN1)CNC2,5.0,0.5860097600334233
C1CNC2(CNC2)OC1,5.0,0.6628265532262138
C1CNCC2(C1)CCCN2,12.0,0.21994679440610307
C1COC2(CCNC2)CN1,5.0,0.6352283654504779
C1CCC2(CCNCC2)NC1,12.0,0.416123308224174
C1CCC2(CNC1)CNC2,12.0,0.21074469852952926
C1CNC2(CC2)CN1,2.0,0.5145980133658787
C1CCC2(C1)CNCCN2,12.0,0.17798554730720043
C1CC2CNC1CN2,7.0,0.33116350179539256
C1CC2CNCC1N2,7.0,-0.2427912410783962
C1NC[C@@H]2C[C@H]1CN2,7.0,-0.08164178187675476
C1C[C@H]2C[C@H](CN2)N1,7.0,0.06450936805311665
C1CC2CNC1[C@H]1CNC[C@@H]21,12.0,0.09108629957895512
C1CC2NCC1C1CNCC21,12.0,0.19691080822669232
C1NC[C@H]2N[C@@H]12,8.0,0.0440677660064491
C1CN[C@@H]2C[C@@H]2N1,4.0,0.5646115428431506
C1NCC2CNCC12,3.0,0.6116820203419195
C[C@]12CNC[C@@]1(C)CNC2,7.0,0.257979232701196
C1CO[C@H]2CNC[C@H]2N1,5.0,0.6486831866750398
C1C[C@@H]2CN[C@@H]2CN1,3.0,0.8032306784834782
C1C[C@@H]2NC[C@@H]2CN1,3.0,0.827591779285396
C1C[C@@H]2CNC[C@@H]2CN1,6.0,0.49831522204754136
C1CN[C@@H]2CCCN[C@@H]2C1,12.0,0.34171902158672207
FC1(F)CNCCNC1,6.0,0.19166422447085957
FC(F)(F)C1CCNCCN1,12.0,0.27725720901036216
c1n[nH]c2c1CNC2,9.0,0.853064201263873
c1noc2c1CNC2,9.0,0.8007244067481899
c1[nH]nc2c1CNC2,9.0,0.8184514951132394
C1CNCCN1,4.0,0.6128663900163375
C1CNOCN1,10.0,-0.03562709798425615
C1CCNCC1,0.0,0.53378754168252
C1CCNNC1,4.0,0.6580353360746216
C1CCOCC1,11.0,-0.1589195426148371
C1CNCNC1,4.0,0.6308253280000424
C1CNCOC1,8.0,-0.06402913992754282
C1CCOC1,11.0,0.1563167397012644
C1CCNC1,0.0,0.39149952956778
c1cnoc1,11.0,0.3377257474662543
c1ccoc1,11.0,0.22989620830444293
c1cc[nH]c1,11.0,0.2404917060303759
c1ccncc1,11.0,0.13697561079157625
C1CC2(C1)COC2,11.0,0.2415113543448795
C1CC2(C1)CCO2,11.0,0.2917833347684549
C1CC2(C1)CCN2,0.0,0.4930514313462173
C1CC2(C1)CNN2,1.0,0.11146209970413085
C1OCC12CO2,11.0,-0.08952349237460588
C1NC12COC2,10.0,0.31510269858377443
C1CC12COC2,11.0,0.35240926490324986
C1NCC12CO2,11.0,-0.2170098741734717
C1NCC12CN2,10.0,0.28404162058921134
C1CC12CNC2,11.0,-0.42364482642157303
C1CC2(C1)CO2,11.0,0.39612610993947567
C1CC2(C1)CN2,11.0,-0.19495522031378018
C1CC2(C1)CC2,11.0,-0.11916970943776813
